name, title, extensions, mime_types, icon_name, encoded
IContentTypeMicrosoftWord, MS Word, .doc .dot, application/msword application/vnd.ms-word, icons/ms-word.gif, no
IContentTypeMicrosoftExcel, MS Excel, .xls .xlt, application/vnd.ms-excel, icons/ms-excel.gif, no
IContentTypeCSV, Comma Separated Values, .csv, text/comma-separated-values, icons/document.gif, yes
IContentTypeTabDelimited, Tab Delimited, .tab .tsv, text/tab-separated-values, icons/document.gif, yes
IContentTypeMicrosoftPowerPoint, MS Powerpoint, .ppt, application/vnd.ms-powerpoint, icons/ms-powerpoint.gif, no
IContentTypeMicrosoftProject, MS Project, .mpp, application/vnd.ms-project, icons/ms-project.gif, no
IContentTypeMicrosoftWorks, MS Works, .wps .wdb, application/vnd.ms-works, icons/document.gif, no
IContentTypeMicrosoftVisio, MS Visio, .vsd .vst .vsw, application/x-visio application/vnd.ms-visio, icons/document.gif, no
IContentTypeWordPerfect, WordPerfect, .wpd .wp5 .wp6, application/wordperfect, icons/wordperfect.gif, no
IContentTypeRichText, Rich Text Format, .rtf, application/rtf, icons/document.gif, no
IContentTypeTextPlain, Plain Text, .txt .text, text/plain, icons/document.gif, yes
IContentTypeTextHtml, HTML Document, .html .htm, text/html, icons/html.gif, yes
IContentTypeHtmlApplication, HTML Application, .hta, application/hta, icons/binary.gif, yes
IContentTypeEmail, Email message (MIME), .mime, message/rfc822, icons/document.gif, yes
IContentTypeXml, XML Document, .xml .xsl .xslt, text/xml application/xml, icons/xml.gif, yes
IContentTypeXhtml, XHTML Document, .html .xhtml, application/xhtml+xml, icons/html.gif, yes
IContentTypeXmlDtd, XML Document Type Definition, .dtd, application/xml-dtd, icons/xml.gif, yes
IContentTypeXmlExternalEntity, XML External Parsed Entity, .xml, application/xml-external-parsed-entity text/xml-external-parsed-entity, icons/xml.gif, yes
IContentTypeSgml, SGML Document, .sgm .sgml, text/sgml, icons/document.gif, yes
IContentTypeCss, Cascading Style Sheet, .css, text/css, icons/css.gif, yes
IContentTypeJavaScript, Javascript Program, .js .ls, text/javascript application/x-javascript, icons/javascript.gif, yes
IContentTypeImageGif, GIF Image, .gif, image/gif, icons/image.gif, no
